code,csname,extname,cname,index_code,index_name,indx_csname,pub_party_name,pub_date,base_date,bp,adj_circle,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type
588790,博时科创板人工智能ETF,科创AIETF,博时上证科创板人工智能交易型开放式指数证券投资基金,950180.CSI,上证科创板人工智能指数,科创AI,中证指数有限公司,20240725,20221230,1000.0,三个月,2024-12-31,2025-01-09,L,SH,博时基金,国投证券股份有限公司,0.5,纯境内
510810,中证上海国企ETF,上海国企ETF,中证上海国企交易型开放式指数证券投资基金,950096.CSI,中证上海国企指数,上海国企,中证指数有限公司,20160511,20121231,1000.0,半年,2016-07-28,2016-08-29,L,SH,汇添富基金,中国工商银行股份有限公司,0.45,纯境内
159800,鹏华中证800ETF,中证800ETF,鹏华中证800交易型开放式指数证券投资基金,000906.SH,中证800指数,中证800,中证指数有限公司,20070115,20041231,1000.0,半年,2024-06-27,2024-07-12,L,SZ,鹏华基金,华泰证券股份有限公司,0.5,纯境内
513950,富国恒生港股通高股息低波动ETF(QDII),恒生红利ETF,富国恒生港股通高股息低波动交易型开放式指数证券投资基金(QDII),HSHYLV.HI,恒生港股通高股息低波动指数,港股通高股息低波动,恒生指数有限公司,20170508,20100903,3000.0,半年,2023-04-19,2023-04-28,L,SH,富国基金,中国银行股份有限公司,0.5,QDII
513080,华安法国CAC40ETF,法国CAC40ETF,华安法国CAC40交易型开放式指数证券投资基金(QDII),CAC40.FP,巴黎CAC40指数,巴黎CAC40指数,法国巴黎证券交易所,19880615,19871231,1000.0,,2020-05-29,2020-06-12,L,SH,华安基金,中国银行股份有限公司,0.5,QDII
563280,富国MSCI中国A50互联互通增强策略ETF,A50增强ETF,富国MSCI中国A50互联互通增强策略交易型开放式指数证券投资基金,746059L.MI,MSCI中国A50互联互通(人民币)指数(本币),MSCI中国A50互联互通(人民币)指数(本币),摩根士丹利资本国际公司,20210917,20121130,1000.0,三个月,2024-04-01,2024-04-12,L,SH,富国基金,中国民生银行股份有限公司,0.7,纯境内
159806,国泰中证新能源汽车ETF,新能源车ETF,国泰中证新能源汽车交易型开放式指数证券投资基金,399976.SZ,中证新能源汽车指数,CS新能车,中证指数有限公司,20141128,20111231,1000.0,半年,2020-03-10,2020-03-20,L,SZ,国泰基金,上海浦东发展银行股份有限公司,0.5,纯境内
159222,易方达国证自由现金流ETF,自由现金流ETF易方达,易方达国证自由现金流交易型开放式指数证券投资基金,980092.SZ,国证自由现金流指数,自由现金流,深圳证券信息有限公司,20121228,20121231,1000.0,三个月,2025-04-09,2025-04-17,L,SZ,易方达基金,中信证券股份有限公司,0.15,纯境内
511980,汇添富添富通货币E,现金添富ETF,汇添富添富通货币市场基金E类,,,,,,,,,2015-10-16,2015-11-02,L,SH,汇添富基金,中国工商银行股份有限公司,0.27,纯境内
530080,天弘上证180ETF,上证180ETF天弘,天弘上证180交易型开放式指数证券投资基金,000010.SH,上证180指数,上证180,中证指数有限公司,20020701,20020628,3299.06,半年,2025-01-08,2025-01-23,L,SH,天弘基金,国信证券股份有限公司,0.15,纯境内
